Sample_ID,Depth,MS25,MS50,MS75,Weighted_EMF,SOC,Amino sugars,BG,NAG,MUP,Available N,Available P,NPP,NDVI,Pathogen_control,Bacteria_richness,Fungi_richness,Mycorrhizal,Endophyte,Saprotroph,Carbon sequestration,Organic matter decomposition,Nutrient cycling,Plant productivity,Pathogen control,Soil biodiversity,Aridity,Warming,Maximum temperature,Extreme events,Seasonality,Human_influence,Salinity,Distance from neutral pH
W98,A_Topsoil,5,3,0,0.497273163,0.164408311,0.076629942,0.425958281,0.249163312,0.243939571,0.176565548,0.226417648,0.482834927,0.873089829,0.880521597,0.804107425,0.789473684,0.155555556,0,0.753164557,0.120519126,0.306353721,0.201491598,0.677962378,0.880521597,0.796790555,53.83680901,37.9262647,62.2047244,16.41306042,27.86941718,66.69697978,3.7049313,0
W101,A_Topsoil,7,5,2,0.313336073,0.05736224,0.015823078,0.061311457,0.101053035,0.002411118,0.113237495,0.058682963,0.212608432,0.373908474,0.799697287,0.613902054,0.605263158,0.111111111,0,0.506329114,0.036592659,0.054925203,0.085960229,0.293258453,0.799697287,0.609582606,82.43234126,54.3586284,57.480315,36.53349701,85.84455979,64.00437055,12.0324816,45.967742
W104,A_Topsoil,6,3,2,0.473638783,0.11630533,0.028133497,0,0.006805334,0.2541458,0.478406424,0.176347593,0.466356536,0.921915427,0.961904762,0.675513428,0.722910217,0.096296296,0.25,0.683544304,0.072219413,0.086983711,0.327377008,0.694135982,0.961904762,0.699211822,61.63865827,34.370495,44.488189,84.88867953,76.66928601,25.12985343,3.8292231,10.48387104
W107,A_Topsoil,6,5,0,0.410110905,0.123306233,0.120473726,0.267147966,0.366139571,0.171755263,0.348079845,0.02864093,0.204213401,0.452417529,0.907346606,0.658135861,0.634674923,0.088888889,0,0.493670886,0.121889979,0.2683476,0.188360387,0.328315465,0.907346606,0.646405392,64.61496932,66.681252,57.8740157,25.93039359,71.3530623,67.85274258,5.6521694,8.870967794
W113,A_Topsoil,5,4,2,0.355592647,0.166892502,0.105472416,0.138592434,0.242439017,0.168292567,0.280945231,0.036151438,0.033305652,0.706510754,0.789894051,0.59399684,0.397832817,0.014814815,0,0.259493671,0.136182459,0.183108006,0.158548335,0.369908203,0.789894051,0.495914829,100,73.0494747,100,21.5069582,63.38077642,2.818067866,13.8036397,48.79032265
W119,A_Topsoil,6,5,1,0.446219493,0.127145438,0.013345687,0.226298454,0.355406388,0.174081593,0.258745481,0.093732002,0.355813584,0.94849612,0.964745605,0.577567141,0.546439628,0.088888889,0.25,0.550632911,0.070245562,0.251928812,0.176238742,0.652154852,0.964745605,0.562003385,67.41580613,63.901716,50.7874016,52.24758778,79.64371913,41.94687295,2.472371,4.838709735
W122,A_Topsoil,6,1,0,0.371318471,0.084462511,0.013921731,0.092192612,0.148401111,0.052305009,0.602886455,0.038654941,0.709272538,0.647022559,0.763092327,0.003475513,0.634674923,0,0,0.67721519,0.049192121,0.097632911,0.320770698,0.678147548,0.763092327,0.319075218,44.08449757,32.1933875,62.5984252,30.48945807,0,41.33412691,3.9535149,38.70967745
W125,A_Topsoil,3,2,0,0.397176338,0.098238482,0.135934258,0.066788649,0.144552304,0.173635997,0.181006911,0.048668952,0.544475567,0.843345732,0.828897427,0,1,0.125925926,0,1,0.11708637,0.12832565,0.114837931,0.693910649,0.828897427,0.5,11.26408854,16.0408637,57.8740157,1.356245709,29.79909436,74.58382871,8.7594643,10.48387104
W128,A_Topsoil,5,2,0,0.485844574,0.156955736,0.113613567,0.009071195,0,0.077570798,1,0.299019228,0.661457056,0.872665347,0.994993596,0.448025276,0.230650155,0.007407407,0,0.417721519,0.135284652,0.028880664,0.649509614,0.767061201,0.994993596,0.339337716,29.22318962,41.7484652,67.7165354,24.72448292,1.321385589,37.02482695,10.5306224,66.12903229
W131,A_Topsoil,7,5,3,0.500270097,0.585591689,0.55298999,0.013921982,0.032124935,0.0924577,0.604325679,0.07370398,0.355305861,0.956985771,0.876982187,0.624012638,0.404024768,0.051851852,0.25,0.341772152,0.569290839,0.046168205,0.339014829,0.656145816,0.876982187,0.514018703,70.04791797,89.0979072,45.2755906,100,100,58.27848152,4.5542585,29.03225809
